
  Obs     Name  Sex  Age  Height  Weight  x
-----  -------  ---  ---  ------  ------  -
    1  Amir     M     13    61.2      95  1
    2  Bethany  F     14    63.8     105  1
    3  Carlos   M     12    58.5      88  1
    4  Diana    F     11      53    62.5  1
    5  Ethan    M     15      68     130  1
    6  Fiona    F     13    60.5      92  1
    7  George   M     14    65.5     115  1
    8  Hannah   F     12      57      78  1
    9  Ivan     M     11    55.8      72  1
   10  Julia    F     15      64     108  1
   11  Kevin    M     16    70.5     145  1
   12  Lily     F     14      62    97.5  1
   13  Marco    M     12    59.3      85  1
   14  Nadia    F     13    61.8      93  1
   15  Oscar    M     15    67.2     128  1
   16  Priya    F     12    55.5      75  1
   17  Quinn    M     13      63     100  1
   18  Rosa     F     11    52.5      58  1
   19  Samuel   M     14      66     120  1

